# Model #, volume (Rsun^3), max_temp (K),[Density: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96],[Massf: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96]
58542,2.05753298596e-05,152981730.653,5.07192277064e-21,376.001058576,18.6614375297,0.0383751864292,0.000362978896638,7.42804648122e-25,0.0150648048153,0.000690582096786,2.48476509728e-06,1.7298603005e-08
58543,2.05729462581e-05,153166246.562,5.08847000013e-21,375.818984867,18.6528604891,0.038366289752,0.000362809481497,7.42823482296e-25,0.0150648025443,0.00069058182482,2.48476516099e-06,1.72985701376e-08
58544,2.05707025801e-05,153347859.028,5.10932166063e-21,379.224016568,18.8088900476,0.0382053049326,0.000365619071095,7.40450246506e-25,0.0151770288003,0.000695945532015,2.47441162094e-06,1.73782767078e-08
58545,2.05686394513e-05,153563168.832,5.11793002937e-21,375.646788106,18.6447476847,0.0383475101377,0.000362632873765,7.42720056094e-25,0.0150647829784,0.000690579486213,2.48476551865e-06,1.72983597174e-08
58546,2.05668158792e-05,153756163.621,5.16455876693e-21,381.072498574,18.8937380523,0.0381107954771,0.000367116789663,7.39928298152e-25,0.0152327035907,0.000698602689926,2.46927002637e-06,1.74172342028e-08
58547,2.05651624721e-05,153937946.764,5.18430572832e-21,380.849402924,18.8833161766,0.0380989044645,0.00036690926719,7.40101576907e-25,0.0152327091431,0.000698603446729,2.46926994887e-06,1.74172849746e-08
58548,2.05636927099e-05,154113273.002,5.20582392983e-21,378.878391799,19.0625303083,0.0231544167061,0.000332957377114,7.40301822291e-25,0.0151511679621,0.000712082291531,1.50423372121e-06,1.5244670186e-08
58549,2.05623878525e-05,154292722.401,5.32177539289e-21,378.445584424,19.3708787941,0.0112457603372,0.000314794142924,7.53752411283e-25,0.0149745939621,0.000723696831078,7.24106800429e-07,1.39515445211e-08
58550,2.05612710551e-05,154504549.976,5.46388980881e-21,380.524486836,19.6602365122,0.00589286543052,0.000310101188345,7.70046053491e-25,0.0149197071558,0.000732157894087,3.63932136917e-07,1.35022550285e-08
58551,2.05602579592e-05,154695579.022,5.63745934733e-21,382.448134195,19.8762692492,0.00304675550431,0.000308439294212,7.89492379557e-25,0.0148355902772,0.000734914489303,1.67735309128e-07,1.32394903512e-08
58552,2.05591805722e-05,154865727.315,5.87724563629e-21,384.300395717,20.041407491,0.00196159386236,0.000308280949947,8.11777023127e-25,0.0145489218314,0.000724627067821,9.02921750632e-08,1.29131971429e-08
58553,2.05468147025e-05,154643501.04,5.95036808e-21,376.074220839,19.7047048837,0.0016365337242,0.000300119782661,8.3307760963e-25,0.0145622972947,0.000726643319664,6.89271240729e-08,1.28875726478e-08
58554,2.05253932725e-05,154295679.699,5.87581247455e-21,378.3153675,19.8049434828,0.00164168529037,0.000302243636253,8.34811719773e-25,0.0150767840654,0.00075069427713,7.08883588788e-08,1.33220186712e-08
58555,2.05209965891e-05,154459882.423,5.91803851647e-21,374.527767037,19.656286871,0.00161964811339,0.000298475587205,8.4240770625e-25,0.0148417630459,0.000740237250519,6.96828905259e-08,1.31131653838e-08
58556,2.05144320853e-05,154451751.928,6.53217450731e-21,371.680038017,19.5372015635,0.00160839002711,0.000295781378613,8.95965658309e-25,0.0148296726678,0.000739962366711,6.9672127902e-08,1.30981335101e-08
58557,2.05183321154e-05,154502046.622,3.48125421262e-20,377.171052643,19.7753859737,0.00162606573671,0.000300914528051,2.28388763857e-24,0.0148474500239,0.000740406792009,6.94749574348e-08,1.31182797899e-08
